"osm_id","latitude","longitude","name","traffic_signals","direction","crossing","source","osm_url"
249083107,12.9926230,77.6097923,"","signal","","","OpenStreetMap","https://www.openstreetmap.org/node/249083107"
249083111,12.9936479,77.6072115,"","","","","OpenStreetMap","https://www.openstreetmap.org/node/249083111"
249083677,12.9595492,77.5559464,"","","","","OpenStreetMap","https://www.openstreetmap.org/node/249083677"
249084138,12.9503340,77.5376362,"","","","","OpenStreetMap","https://www.openstreetmap.org/node/249084138"
249084423,12.9577314,77.5341001,"","signal","","","OpenStreetMap","https://www.openstreetmap.org/node/249084423"
249084426,12.9599483,77.5331539,"","","","","OpenStreetMap","https://www.openstreetmap.org/node/249084426"
249084472,12.9661078,77.5355823,"","","","","OpenStreetMap","https://www.openstreetmap.org/node/249084472"
249084482,12.9741233,77.5447325,"","","","","OpenStreetMap","https://www.openstreetmap.org/node/249084482"
249084487,12.9752543,77.5482330,"","","","","OpenStreetMap","https://www.openstreetmap.org/node/249084487"
249086392,12.9613737,77.5592663,"","","","","OpenStreetMap","https://www.openstreetmap.org/node/249086392"
249086438,12.9605005,77.5685496,"Royan Circle","","","","Royan Circle","https://www.openstreetmap.org/node/249086438"
249087719,12.9563509,77.5772014,"","","","","OpenStreetMap","https://www.openstreetmap.org/node/249087719"
249087936,12.9657245,77.5865182,"","signal","","","OpenStreetMap","https://www.openstreetmap.org/node/249087936"
249087971,12.9729254,77.5810224,"Mysore Bank Circle","","","","OpenStreetMap","https://www.openstreetmap.org/node/249087971"
249098535,12.9554830,77.5919637,"","","","","OpenStreetMap","https://www.openstreetmap.org/node/249098535"
249585502,12.9610125,77.5591727,"","","","","OpenStreetMap","https://www.openstreetmap.org/node/249585502"
249589809,12.9560110,77.5463943,"","signal","","","OpenStreetMap","https://www.openstreetmap.org/node/249589809"
249775286,12.9397582,77.5739629,"","","","","OpenStreetMap","https://www.openstreetmap.org/node/249775286"
249788404,12.9407831,77.5738077,"","","","","OpenStreetMap","https://www.openstreetmap.org/node/249788404"
251082959,12.9814997,77.6311960,"","","","traffic_signals","OpenStreetMap","https://www.openstreetmap.org/node/251082959"
251105190,12.9836256,77.7523529,"","","","","OpenStreetMap","https://www.openstreetmap.org/node/251105190"
